ItemMiscPetPostSets1,SourceCharacter puts a triskel sticker on DestinationCharacter sign.
ItemMiscPetPostSets2,SourceCharacter puts a moon sticker on DestinationCharacter sign.
ItemMiscPetPostSets3,SourceCharacter puts an LGBT pride flag sticker on DestinationCharacter sign.
ItemMiscPetPostSets4,SourceCharacter puts a trans pride flag sticker on DestinationCharacter sign.
ItemMiscPetPostSets5,SourceCharacter puts a bi pride flag sticker on DestinationCharacter sign.
ItemMiscPetPostSets6,SourceCharacter puts a no swimming sticker on DestinationCharacter sign.
ItemMiscPetPostSets7,SourceCharacter removes the sticker on DestinationCharacter sign.
ItemMiscPetPostSetx0,SourceCharacter changes DestinationCharacter sign message.
ItemMiscPetPotatoFloor,Floor
ItemMiscPetPotatoLap,Lap
ItemMiscPetPotatoSelect,Select position
ItemMiscPetPotatoSetFloor,SourceCharacter puts the AssetName down.
ItemMiscPetPotatoSetLap,SourceCharacter picks up the AssetName.
ItemMiscPortalLinkPadlockDetail,Can only be opened using a PortalLink Tablet
ItemMiscPortalLinkPadlockIntro,"""Accidents hurts… Safety First!"""
ItemMiscServingTrayCake,Cake
ItemMiscServingTrayCookies,Cookies
ItemMiscServingTrayDrinks,Drinks
ItemMiscServingTrayEmpty,Empty
ItemMiscServingTraySelect,Add or remove drinks from the tray
ItemMiscServingTraySetCake,SourceCharacter fills DestinationCharacter tray with a cake.
ItemMiscServingTraySetCookies,SourceCharacter fills DestinationCharacter tray with cookies.
ItemMiscServingTraySetDrinks,SourceCharacter fills DestinationCharacter tray with drinks.
ItemMiscServingTraySetEmpty,SourceCharacter empties DestinationCharacter tray.
ItemMiscServingTraySetToys,SourceCharacter fills DestinationCharacter tray with sex toys.
ItemMiscServingTrayToys,Toys
ItemMiscTeddyBearBear,Bear
ItemMiscTeddyBearBunny,Bunny
ItemMiscTeddyBearFox,Fox
ItemMiscTeddyBearKitty,Kitty
ItemMiscTeddyBearPony,Pony
ItemMiscTeddyBearPup,Puppy
ItemMiscTeddyBearSelect,Select the type of Teddy Bear
ItemMiscTeddyBearSetBear,SourceCharacter gives TargetCharacter a cute teddy bear.
ItemMiscTeddyBearSetBunny,SourceCharacter gives TargetCharacter a cute Bunny teddy.
ItemMiscTeddyBearSetFox,SourceCharacter gives TargetCharacter a cute foxy teddy.
ItemMiscTeddyBearSetKitty,SourceCharacter gives TargetCharacter a cute kitty teddy.
ItemMiscTeddyBearSetPony,SourceCharacter gives TargetCharacter a cute Pony teddy.
ItemMiscTeddyBearSetPup,SourceCharacter gives TargetCharacter a cute puppy teddy.
ItemMiscTimerPadlockIntro,You can restart the timer but cannot unlock
ItemMouth2FuturisticMuzzleModuleHarness,Straps
ItemMouth2FuturisticMuzzleModuleNose,Mask
ItemMouth2FuturisticMuzzleModuleSymbol,Icon
ItemMouth2FuturisticMuzzleOptionh0,Muzzle
ItemMouth2FuturisticMuzzleOptionh1,Harness Muzzle
ItemMouth2FuturisticMuzzleOptionn0,Standard
ItemMouth2FuturisticMuzzleOptionn1,Over the Nose
ItemMouth2FuturisticMuzzleOptions0,Blank
ItemMouth2FuturisticMuzzleOptions1,Lock
ItemMouth2FuturisticMuzzleOptions2,Mute
ItemMouth2FuturisticMuzzleOptions3,X
ItemMouth2FuturisticMuzzleSelectBase,Configure muzzle:
ItemMouth2FuturisticMuzzleSelectHarness,Configure straps:
ItemMouth2FuturisticMuzzleSelectNose,Configure mask:
ItemMouth2FuturisticMuzzleSelectSymbol,Choose Decorative Icon:
ItemMouth2FuturisticMuzzleSeth0,SourceCharacter removes straps from DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSeth1,SourceCharacter adds straps to DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSetn0,SourceCharacter removes the nose cover from DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSetn1,SourceCharacter adds a nose cover to DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSets0,SourceCharacter removes the icon from DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSets1,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSets2,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth2FuturisticMuzzleSets3,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth2ModularGagModuleBlindfold,Blinders Strap
ItemMouth2ModularGagModuleChinStrap,Chin Strap
ItemMouth2ModularGagModuleEars,Ears Strap
ItemMouth2ModularGagModuleGag,Gag
ItemMouth2ModularGagModuleHeadress,Headress
ItemMouth2ModularGagOptionb0,None
ItemMouth2ModularGagOptionb1,Side Blinders
ItemMouth2ModularGagOptionc0,Detached
ItemMouth2ModularGagOptionc1,Attached
ItemMouth2ModularGagOptione0,None
ItemMouth2ModularGagOptione1,Pony
ItemMouth2ModularGagOptiong0,Detached
ItemMouth2ModularGagOptiong1,Ball
ItemMouth2ModularGagOptiong2,Dildo Ball
ItemMouth2ModularGagOptiong3,Ring
ItemMouth2ModularGagOptiong4,Tongue Depressor Ring
ItemMouth2ModularGagOptiong5,Bit
ItemMouth2ModularGagOptiong6,Tongue Depressor Bit
ItemMouth2ModularGagOptionh0,Detached
ItemMouth2ModularGagOptionh1,Basic
ItemMouth2ModularGagOptionh2,Advanced
ItemMouth2ModularGagSelectBase,Select Modular Gag Accessories
ItemMouth2ModularGagSelectBlindfold,Select Blinders Strap
ItemMouth2ModularGagSelectChinStrap,Select Chin Strap
ItemMouth2ModularGagSelectEars,Select Ears Strap
ItemMouth2ModularGagSelectGag,Select Gag
ItemMouth2ModularGagSelectHeadress,Select Headress
ItemMouth2ModularGagSetb0,SourceCharacter detaches blinders from DestinationCharacter modular strap.
ItemMouth2ModularGagSetb1,SourceCharacter attaches blinders on DestinationCharacter modular strap.
ItemMouth2ModularGagSetc0,SourceCharacter detaches a chin strap on DestinationCharacter modular strap.
ItemMouth2ModularGagSetc1,SourceCharacter attaches a chin strap on DestinationCharacter modular strap.
ItemMouth2ModularGagSete0,SourceCharacter detaches ears from DestinationCharacter modular strap.
ItemMouth2ModularGagSete1,SourceCharacter attaches pony ears on DestinationCharacter modular strap.
ItemMouth2ModularGagSetg0,SourceCharacter unclips DestinationCharacter gag from her modular strap.
ItemMouth2ModularGagSetg1,SourceCharacter clips a ball gag on DestinationCharacter modular strap.
ItemMouth2ModularGagSetg2,SourceCharacter slips a dildo ball gag in DestinationCharacter mouth and clips it on modular strap.
ItemMouth2ModularGagSetg3,SourceCharacter clips a ring gag on DestinationCharacter modular strap.
ItemMouth2ModularGagSetg4,SourceCharacter clips a ring gag with tongue depressor on DestinationCharacter modular strap.
ItemMouth2ModularGagSetg5,SourceCharacter clips a bit gag on DestinationCharacter modular strap.
ItemMouth2ModularGagSetg6,SourceCharacter clips a bit gag with tongue depressor on DestinationCharacter modular strap.
ItemMouth2ModularGagSeth0,SourceCharacter detaches a head harness on DestinationCharacter modular strap.
ItemMouth2ModularGagSeth1,SourceCharacter attaches a basic head harness on DestinationCharacter modular strap.
ItemMouth2ModularGagSeth2,SourceCharacter attaches an advanced head harness on DestinationCharacter modular strap.
ItemMouth3FuturisticMuzzleModuleHarness,Straps
ItemMouth3FuturisticMuzzleModuleNose,Mask
ItemMouth3FuturisticMuzzleModuleSymbol,Icon
ItemMouth3FuturisticMuzzleOptionh0,Muzzle
ItemMouth3FuturisticMuzzleOptionh1,Harness Muzzle
ItemMouth3FuturisticMuzzleOptionn0,Standard
ItemMouth3FuturisticMuzzleOptionn1,Over the Nose
ItemMouth3FuturisticMuzzleOptions0,Blank
ItemMouth3FuturisticMuzzleOptions1,Lock
ItemMouth3FuturisticMuzzleOptions2,Mute
ItemMouth3FuturisticMuzzleOptions3,X
ItemMouth3FuturisticMuzzleSelectBase,Configure muzzle:
ItemMouth3FuturisticMuzzleSelectHarness,Configure straps:
ItemMouth3FuturisticMuzzleSelectNose,Configure mask:
ItemMouth3FuturisticMuzzleSelectSymbol,Choose Decorative Icon:
ItemMouth3FuturisticMuzzleSeth0,SourceCharacter removes straps from DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSeth1,SourceCharacter adds straps to DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSetn0,SourceCharacter removes the nose cover from DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSetn1,SourceCharacter adds a nose cover to DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSets0,SourceCharacter removes the icon from DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSets1,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSets2,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth3FuturisticMuzzleSets3,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouth3ModularGagModuleBlindfold,Blinders Strap
ItemMouth3ModularGagModuleChinStrap,Chin Strap
ItemMouth3ModularGagModuleEars,Ears Strap
ItemMouth3ModularGagModuleGag,Gag
ItemMouth3ModularGagModuleHeadress,Headress
ItemMouth3ModularGagOptionb0,None
ItemMouth3ModularGagOptionb1,Side Blinders
ItemMouth3ModularGagOptionc0,Detached
ItemMouth3ModularGagOptionc1,Attached
ItemMouth3ModularGagOptione0,None
ItemMouth3ModularGagOptione1,Pony
ItemMouth3ModularGagOptiong0,Detached
ItemMouth3ModularGagOptiong1,Ball
ItemMouth3ModularGagOptiong2,Dildo Ball
ItemMouth3ModularGagOptiong3,Ring
ItemMouth3ModularGagOptiong4,Tongue Depressor Ring
ItemMouth3ModularGagOptiong5,Bit
ItemMouth3ModularGagOptiong6,Tongue Depressor Bit
ItemMouth3ModularGagOptionh0,Detached
ItemMouth3ModularGagOptionh1,Basic
ItemMouth3ModularGagOptionh2,Advanced
ItemMouth3ModularGagSelectBase,Select Modular Gag Accessories
ItemMouth3ModularGagSelectBlindfold,Select Blinders Strap
ItemMouth3ModularGagSelectChinStrap,Select Chin Strap
ItemMouth3ModularGagSelectEars,Select Ears Strap
ItemMouth3ModularGagSelectGag,Select Gag
ItemMouth3ModularGagSelectHeadress,Select Headress
ItemMouth3ModularGagSetb0,SourceCharacter detaches blinders from DestinationCharacter modular strap.
ItemMouth3ModularGagSetb1,SourceCharacter attaches blinders on DestinationCharacter modular strap.
ItemMouth3ModularGagSetc0,SourceCharacter detaches a chin strap on DestinationCharacter modular strap.
ItemMouth3ModularGagSetc1,SourceCharacter attaches a chin strap on DestinationCharacter modular strap.
ItemMouth3ModularGagSete0,SourceCharacter detaches ears from DestinationCharacter modular strap.
ItemMouth3ModularGagSete1,SourceCharacter attaches pony ears on DestinationCharacter modular strap.
ItemMouth3ModularGagSetg0,SourceCharacter unclips DestinationCharacter gag from her modular strap.
ItemMouth3ModularGagSetg1,SourceCharacter clips a ball gag on DestinationCharacter modular strap.
ItemMouth3ModularGagSetg2,SourceCharacter slips a dildo ball gag in DestinationCharacter mouth and clips it on modular strap.
ItemMouth3ModularGagSetg3,SourceCharacter clips a ring gag on DestinationCharacter modular strap.
ItemMouth3ModularGagSetg4,SourceCharacter clips a ring gag with tongue depressor on DestinationCharacter modular strap.
ItemMouth3ModularGagSetg5,SourceCharacter clips a bit gag on DestinationCharacter modular strap.
ItemMouth3ModularGagSetg6,SourceCharacter clips a bit gag with tongue depressor on DestinationCharacter modular strap.
ItemMouth3ModularGagSeth0,SourceCharacter detaches a head harness on DestinationCharacter modular strap.
ItemMouth3ModularGagSeth1,SourceCharacter attaches a basic head harness on DestinationCharacter modular strap.
ItemMouth3ModularGagSeth2,SourceCharacter attaches an advanced head harness on DestinationCharacter modular strap.
ItemMouthBigMouthSetDefault,SourceCharacter puts a default lips in DestinationCharacterName mouth.
ItemMouthBigMouthSetGrin,SourceCharacter puts a grin lips in DestinationCharacterName mouth.
ItemMouthBigMouthSetOpen,SourceCharacter puts a wide open lips in DestinationCharacterName mouth.
ItemMouthBigMouthSetSerious,SourceCharacter puts a serious lips in DestinationCharacterName mouth.
ItemMouthDentalGagClosed,Closed
ItemMouthDentalGagOpen,Opened
ItemMouthDentalGagSelect,Open or close the gag
ItemMouthDentalGagSetClosed,SourceCharacter closes the mouth of TargetCharacter.
ItemMouthDentalGagSetOpen,SourceCharacter forces the mouth of TargetCharacter open.
ItemMouthFuturisticHarnessBallGagOptionChatMessage,Show chat message
ItemMouthFuturisticHarnessBallGagOptiong0,Ball
ItemMouthFuturisticHarnessBallGagOptiong1,Large Ball
ItemMouthFuturisticHarnessBallGagOptiong2,Dildo
ItemMouthFuturisticHarnessBallGagOptionp0,Off
ItemMouthFuturisticHarnessBallGagOptionp1,Low
ItemMouthFuturisticHarnessBallGagOptionp2,Medium
ItemMouthFuturisticHarnessBallGagOptionp3,Maximum
ItemMouthFuturisticHarnessBallGagOptionPump,Trigger Inflation
ItemMouthFuturisticHarnessBallGagOptiont0,2 Min
ItemMouthFuturisticHarnessBallGagOptiont1,5 Min
ItemMouthFuturisticHarnessBallGagOptiont2,15 Min
ItemMouthFuturisticHarnessBallGagOptiont3,1 Hour
ItemMouthFuturisticHarnessBallGagOptiont4,20 Hours
ItemMouthFuturisticHarnessBallGagSetg0,SourceCharacter configures DestinationCharacter gag to a soft ball.
ItemMouthFuturisticHarnessBallGagSetg1,SourceCharacter configures DestinationCharacter gag to a mouth-filling ball.
ItemMouthFuturisticHarnessBallGagSetg2,SourceCharacter configures DestinationCharacter gag to a long dildo.
ItemMouthFuturisticHarnessBallGagSetp0,SourceCharacter configures DestinationCharacter gag to not punish TargetPronounObject for speaking.
ItemMouthFuturisticHarnessBallGagSetp1,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for shouting.
ItemMouthFuturisticHarnessBallGagSetp2,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for saying long sentences.
ItemMouthFuturisticHarnessBallGagSetp3,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for speaking.
ItemMouthFuturisticHarnessBallGagSetPumpDeflateg0,DestinationCharacterName gag deflates into a soft ball.
ItemMouthFuturisticHarnessBallGagSetPumpDeflateg1,DestinationCharacterName gag deflates into a mouth-filling ball.
ItemMouthFuturisticHarnessBallGagSetPumpInflateg1,DestinationCharacterName gag inflates into a mouth-filling ball.
ItemMouthFuturisticHarnessBallGagSetPumpInflateg2,DestinationCharacterName gag inflates into a large dildo that forces its way down TargetPronounPossessive throat.
ItemMouthFuturisticHarnessBallGagSett0,SourceCharacter configures DestinationCharacter gag to deflate 2 minutes after triggering.
ItemMouthFuturisticHarnessBallGagSett1,SourceCharacter configures DestinationCharacter gag to deflate 5 minutes after triggering.
ItemMouthFuturisticHarnessBallGagSett2,SourceCharacter configures DestinationCharacter gag to deflate 15 minutes after triggering.
ItemMouthFuturisticHarnessBallGagSett3,SourceCharacter configures DestinationCharacter gag to deflate 1 hour after triggering.
ItemMouthFuturisticHarnessBallGagSett4,SourceCharacter configures DestinationCharacter gag to deflate 20 hours after triggering.
ItemMouthFuturisticMuzzleModuleHarness,Straps
ItemMouthFuturisticMuzzleModuleNose,Mask
ItemMouthFuturisticMuzzleModuleSymbol,Icon
ItemMouthFuturisticMuzzleOptionh0,Muzzle
ItemMouthFuturisticMuzzleOptionh1,Harness Muzzle
ItemMouthFuturisticMuzzleOptionn0,Standard
ItemMouthFuturisticMuzzleOptionn1,Over the Nose
ItemMouthFuturisticMuzzleOptions0,Blank
ItemMouthFuturisticMuzzleOptions1,Lock
ItemMouthFuturisticMuzzleOptions2,Mute
ItemMouthFuturisticMuzzleOptions3,X
ItemMouthFuturisticMuzzleSelectBase,Configure muzzle:
ItemMouthFuturisticMuzzleSelectHarness,Configure straps:
ItemMouthFuturisticMuzzleSelectNose,Configure mask:
ItemMouthFuturisticMuzzleSelectSymbol,Choose Decorative Icon:
ItemMouthFuturisticMuzzleSeth0,SourceCharacter removes straps from DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSeth1,SourceCharacter adds straps to DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSetn0,SourceCharacter removes the nose cover from DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSetn1,SourceCharacter adds a nose cover to DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSets0,SourceCharacter removes the icon from DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSets1,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSets2,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouthFuturisticMuzzleSets3,SourceCharacter chooses the icon on DestinationCharacter muzzle.
ItemMouthFuturisticPanelGagModuleAutoPunish,Auto-Inflation
ItemMouthFuturisticPanelGagModuleDeflationTime,Deflation Timer
ItemMouthFuturisticPanelGagModuleGag,Gag Inflation
ItemMouthFuturisticPanelGagOptionChatMessage,Show chat message
ItemMouthFuturisticPanelGagOptiong0,Padded
ItemMouthFuturisticPanelGagOptiong1,Ball
ItemMouthFuturisticPanelGagOptiong2,Large Ball
ItemMouthFuturisticPanelGagOptiong3,Dildo
ItemMouthFuturisticPanelGagOptionp0,Off
ItemMouthFuturisticPanelGagOptionp1,Low
ItemMouthFuturisticPanelGagOptionp2,Medium
ItemMouthFuturisticPanelGagOptionp3,Maximum
ItemMouthFuturisticPanelGagOptionPump,Trigger Inflation
ItemMouthFuturisticPanelGagOptiont0,2 Min
ItemMouthFuturisticPanelGagOptiont1,5 Min
ItemMouthFuturisticPanelGagOptiont2,15 Min
ItemMouthFuturisticPanelGagOptiont3,1 Hour
ItemMouthFuturisticPanelGagOptiont4,20 Hours
ItemMouthFuturisticPanelGagSelectAutoPunish,Select Auto-Inflation Sensitivity:
ItemMouthFuturisticPanelGagSelectBase,Select Options
ItemMouthFuturisticPanelGagSelectDeflationTime,Select Deflation Timer
ItemMouthFuturisticPanelGagSelectGag,Select Gag Inflation
ItemMouthFuturisticPanelGagSetg0,SourceCharacter configures DestinationCharacter gag to padded mode.
ItemMouthFuturisticPanelGagSetg1,SourceCharacter configures DestinationCharacter gag to a soft ball.
ItemMouthFuturisticPanelGagSetg2,SourceCharacter configures DestinationCharacter gag to a mouth-filling ball.
ItemMouthFuturisticPanelGagSetg3,SourceCharacter configures DestinationCharacter gag to a long dildo.
ItemMouthFuturisticPanelGagSetp0,SourceCharacter configures DestinationCharacter gag to not punish TargetPronounObject for speaking.
ItemMouthFuturisticPanelGagSetp1,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for shouting.
ItemMouthFuturisticPanelGagSetp2,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for saying long sentences.
ItemMouthFuturisticPanelGagSetp3,SourceCharacter configures DestinationCharacter gag to punish TargetPronounObject for speaking.
ItemMouthFuturisticPanelGagSetPumpDeflateg0,DestinationCharacterName gag deflates into padded mode.
ItemMouthFuturisticPanelGagSetPumpDeflateg1,DestinationCharacterName gag deflates into a soft ball.
ItemMouthFuturisticPanelGagSetPumpDeflateg2,DestinationCharacterName gag deflates into a mouth-filling ball.
ItemMouthFuturisticPanelGagSetPumpInflateg1,DestinationCharacterName gag inflates into a soft ball.
ItemMouthFuturisticPanelGagSetPumpInflateg2,DestinationCharacterName gag inflates into a mouth-filling ball.
ItemMouthFuturisticPanelGagSetPumpInflateg3,DestinationCharacterName gag inflates into a large dildo that forces its way down TargetPronounPossessive throat.
ItemMouthFuturisticPanelGagSett0,SourceCharacter configures DestinationCharacter gag to deflate 2 minutes after triggering.
ItemMouthFuturisticPanelGagSett1,SourceCharacter configures DestinationCharacter gag to deflate 5 minutes after triggering.
ItemMouthFuturisticPanelGagSett2,SourceCharacter configures DestinationCharacter gag to deflate 15 minutes after triggering.
ItemMouthFuturisticPanelGagSett3,SourceCharacter configures DestinationCharacter gag to deflate 1 hour after triggering.
ItemMouthFuturisticPanelGagSett4,SourceCharacter configures DestinationCharacter gag to deflate 20 hours after triggering.
ItemMouthHarnessPonyBitsAttached,Attached
ItemMouthHarnessPonyBitsDetached,Detached
ItemMouthHarnessPonyBitsSelect,Select where the bit will be
ItemMouthHarnessPonyBitsSetAttached,SourceCharacter clips the bit onto DestinationCharacter harness.
ItemMouthHarnessPonyBitsSetDetached,SourceCharacter unclips the bit from DestinationCharacter harness.
ItemMouthLatexRespiratorModuleFilter,Filter
ItemMouthLatexRespiratorModuleGlow,Glow
ItemMouthLatexRespiratorModuleLength,Filter Position
ItemMouthLatexRespiratorModuleMask,Mask
ItemMouthLatexRespiratorModuleStraps,Straps
ItemMouthLatexRespiratorOptionf0,None
ItemMouthLatexRespiratorOptionf1,Big Filters
ItemMouthLatexRespiratorOptionf2,Small Tubes
ItemMouthLatexRespiratorOptionf3,Large Tubes
ItemMouthLatexRespiratorOptiong0,Off
ItemMouthLatexRespiratorOptiong1,On
ItemMouthLatexRespiratorOptionl0,Beneath Hair
ItemMouthLatexRespiratorOptionl1,Over Hair
ItemMouthLatexRespiratorOptionm0,Mask
ItemMouthLatexRespiratorOptionm1,Thick Filters
ItemMouthLatexRespiratorOptionm2,No Mask
ItemMouthLatexRespiratorOptions0,No Straps
ItemMouthLatexRespiratorOptions1,Straps
ItemMouthLatexRespiratorSelectBase,Configure Respirator
ItemMouthLatexRespiratorSelectFilter,Switch Attachments
ItemMouthLatexRespiratorSelectGlow,Switch Glow Function
ItemMouthLatexRespiratorSelectLength,Select Filter Position
ItemMouthLatexRespiratorSelectMask,Use Mask
ItemMouthLatexRespiratorSelectStraps,Strap Options
ItemMouthLatexRespiratorSetFilter,SourceCharacter changes the attachments on DestinationCharacter respirator.
ItemMouthLatexRespiratorSetGlow,SourceCharacter flicks the glow switch on DestinationCharacter respirator.
ItemMouthLatexRespiratorSetLength,SourceCharacter adjusts the fit of the filters on DestinationCharacter respirator
ItemMouthLatexRespiratorSetMask,SourceCharacter changes the mask on DestinationCharacter respirator.
ItemMouthLatexRespiratorSetStraps,SourceCharacter adjusts the straps on DestinationCharacter respirator.
ItemMouthLatexSheathGagSelect,Select Gag Thickness
ItemMouthLatexSheathGagSetThick,SourceCharacter exchanges DestinationCharacter latex mouth sheath for a thick sheath.
ItemMouthLatexSheathGagSetThin,SourceCharacter exchanges DestinationCharacter latex mouth sheath for a thin sheath.
ItemMouthLatexSheathGagSetVeryThick,SourceCharacter exchanges DestinationCharacter latex mouth sheath for a very thick sheath.
ItemMouthLatexSheathGagThick,Thick
ItemMouthLatexSheathGagThin,Thin
ItemMouthLatexSheathGagVeryThick,Very Thick
ItemMouthModularGagModuleBlindfold,Blinders Strap
ItemMouthModularGagModuleChinStrap,Chin Strap
ItemMouthModularGagModuleEars,Ears Strap
ItemMouthModularGagModuleGag,Gag
ItemMouthModularGagModuleHeadress,Headress
ItemMouthModularGagOptionb0,None
ItemMouthModularGagOptionb1,Side Blinders
ItemMouthModularGagOptionc0,Detached
ItemMouthModularGagOptionc1,Attached
ItemMouthModularGagOptione0,None
ItemMouthModularGagOptione1,Pony
ItemMouthModularGagOptiong0,Detached
ItemMouthModularGagOptiong1,Ball
ItemMouthModularGagOptiong2,Dildo Ball
ItemMouthModularGagOptiong3,Ring
ItemMouthModularGagOptiong4,Tongue Depressor Ring
ItemMouthModularGagOptiong5,Bit
ItemMouthModularGagOptiong6,Tongue Depressor Bit
ItemMouthModularGagOptionh0,Detached
ItemMouthModularGagOptionh1,Basic
ItemMouthModularGagOptionh2,Advanced
ItemMouthModularGagSelectBase,Select Modular Gag Accessories
ItemMouthModularGagSelectBlindfold,Select Blinders Strap
ItemMouthModularGagSelectChinStrap,Select Chin Strap
ItemMouthModularGagSelectEars,Select Ears Strap
ItemMouthModularGagSelectGag,Select Gag
ItemMouthModularGagSelectHeadress,Select Headress
ItemMouthModularGagSetb0,SourceCharacter detaches blinders from DestinationCharacter modular strap.
ItemMouthModularGagSetb1,SourceCharacter attaches blinders on DestinationCharacter modular strap.
ItemMouthModularGagSetc0,SourceCharacter detaches a chin strap on DestinationCharacter modular strap.
ItemMouthModularGagSetc1,SourceCharacter attaches a chin strap on DestinationCharacter modular strap.
ItemMouthModularGagSete0,SourceCharacter detaches ears from DestinationCharacter modular strap.
ItemMouthModularGagSete1,SourceCharacter attaches pony ears on DestinationCharacter modular strap.
ItemMouthModularGagSetg0,SourceCharacter unclips DestinationCharacter gag from her modular strap.
ItemMouthModularGagSetg1,SourceCharacter clips a ball gag on DestinationCharacter modular strap.
ItemMouthModularGagSetg2,SourceCharacter slips a dildo ball gag in DestinationCharacter mouth and clips it on modular strap.
ItemMouthModularGagSetg3,SourceCharacter clips a ring gag on DestinationCharacter modular strap.
ItemMouthModularGagSetg4,SourceCharacter clips a ring gag with tongue depressor on DestinationCharacter modular strap.
ItemMouthModularGagSetg5,SourceCharacter clips a bit gag on DestinationCharacter modular strap.
ItemMouthModularGagSetg6,SourceCharacter clips a bit gag with tongue depressor on DestinationCharacter modular strap.
ItemMouthModularGagSeth0,SourceCharacter detaches a head harness on DestinationCharacter modular strap.
ItemMouthModularGagSeth1,SourceCharacter attaches a basic head harness on DestinationCharacter modular strap.
ItemMouthModularGagSeth2,SourceCharacter attaches an advanced head harness on DestinationCharacter modular strap.
ItemMouthPaddedFaceMaskModulePattern,Pattern
ItemMouthPaddedFaceMaskModuleThickness,Padding
ItemMouthPaddedFaceMaskOptionp0,None
ItemMouthPaddedFaceMaskOptionp1,Lips
ItemMouthPaddedFaceMaskOptionp2,Heart
ItemMouthPaddedFaceMaskOptiont0,Thin
ItemMouthPaddedFaceMaskOptiont1,Thick
ItemMouthPaddedFaceMaskSelectBase,Choose Design
ItemMouthPaddedFaceMaskSelectPattern,Choose Pattern
ItemMouthPaddedFaceMaskSelectThickness,Choose Padding Amount
ItemMouthPaddedFaceMaskSetPattern,SourceCharacter changes the pattern of DestinationCharacter face mask.
ItemMouthPaddedFaceMaskSetThickness,SourceCharacter adjusts the padding of DestinationCharacter face mask.
ItemMouthPonyGagModuleBlinders,Blinders
ItemMouthPonyGagModuleExtra,Extra Straps
ItemMouthPonyGagModuleGag,Gag
ItemMouthPonyGagModuleHorn,Horn
ItemMouthPonyGagModulePanel,Panel
ItemMouthPonyGagModuleReins,Reins
ItemMouthPonyGagModuleTop,Top
ItemMouthPonyGagOptionb0,None
ItemMouthPonyGagOptionb1,Blinders
ItemMouthPonyGagOptione0,None
ItemMouthPonyGagOptione1,Additional Straps
ItemMouthPonyGagOptione2,Flags
ItemMouthPonyGagOptiong0,Bit Gag
ItemMouthPonyGagOptiong1,Detached
ItemMouthPonyGagOptiong2,Large Bit Gag
ItemMouthPonyGagOptiong3,Tongue Depressor Bit Gag
ItemMouthPonyGagOptiong4,Ballgag
ItemMouthPonyGagOptiong5,Dildo Gag
ItemMouthPonyGagOptionh0,None
ItemMouthPonyGagOptionh1,Horn
ItemMouthPonyGagOptionh2,Dildocorn
ItemMouthPonyGagOptionp0,None
ItemMouthPonyGagOptionp1,Plain
ItemMouthPonyGagOptionp2,Hex
ItemMouthPonyGagOptionp3,Shield
ItemMouthPonyGagOptionp4,Moon
ItemMouthPonyGagOptionp5,Sun
ItemMouthPonyGagOptionp6,Heart
ItemMouthPonyGagOptionp7,Horse
ItemMouthPonyGagOptionp8,Triskel
ItemMouthPonyGagOptionp9,Pentacle
ItemMouthPonyGagOptionr0,None
ItemMouthPonyGagOptionr1,Reins
ItemMouthPonyGagOptionr2,Rope
ItemMouthPonyGagOptionr3,Hitching Post
ItemMouthPonyGagOptiont0,None
ItemMouthPonyGagOptiont1,Plume
ItemMouthPonyGagOptiont2,Mane Left
ItemMouthPonyGagOptiont3,Mane Right
ItemMouthPonyGagOptiont4,Mohawk
ItemMouthPonyGagSelectBase,Select bridle Gag Accessories
ItemMouthPonyGagSelectBlinders,Select Blinders
ItemMouthPonyGagSelectExtra,Select Extra Straps
ItemMouthPonyGagSelectGag,Select Gag Accessory
